ticket_key,snapshot_id,event_id,game,tip_et,player,market,recommended_side,point,tier,selected_book,selected_price_american,play_to_american,model_p_hit,best_ev,actual_stat_value,result,graded_price_american,stake_units,pnl_units,graded_at_utc,grading_notes
70548c702411597c,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Immanuel Quickley,player_points_rebounds_assists,over,24.5,A,draftkings,-120,-177,0.6577918918918919,0.205952,,,,,,,
00df917cfaba06da,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Onyeka Okongwu,player_assists,over,2.5,A,draftkings,-134,-203,0.6901105476673428,0.205118,,,,,,,
ecb5827640e787b4,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Dennis Schroder,player_assists,over,3.5,A,draftkings,106,-131,0.5847225666460013,0.204528,,,,,,,
b8f83f40ebb21383,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Danny Wolf,player_rebounds,over,6.5,B,fanduel,-154,-228,0.7302249662618083,0.204397,,,,,,,
be90a638739c8c1d,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Karl-Anthony Towns,player_rebounds,over,10.5,A,fanduel,-125,-185,0.6687261096605743,0.203707,,,,,,,
4ebeaf380c47da2b,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Josh Green,player_rebounds,over,2.5,B,draftkings,123,-106,0.5395991987102747,0.203306,,,,,,,
2368f8f0a04a39b2,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Jaylon Tyson,player_assists,over,2.5,B,draftkings,110,-120,0.5726682953311618,0.202603,,,,,,,
611ec2cbadd60c29,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Jalen Brunson,player_threes,over,2.5,A,fanduel,-132,-198,0.684013260953858,0.202205,,,,,,,
54e08bd6391a23a9,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Jalen Johnson,player_threes,over,1.5,A,fanduel,-120,-175,0.6555711906744379,0.201881,,,,,,,
d462ca95e613fe39,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Josh Hart,player_rebounds,over,7.5,A,fanduel,-115,-166,0.642855412424683,0.20186,,,,,,,
115c4025b49f00eb,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,C.J. McCollum,player_rebounds,over,2.5,A,draftkings,-136,-205,0.6925433482810165,0.201766,,,,,,,
5517e6d58694a67f,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Immanuel Quickley,player_points,over,15.5,A,draftkings,-107,-152,0.6211039625828245,0.201575,,,,,,,
ca664bd6506b03e0,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Scottie Barnes,player_points,over,18.5,B,fanduel,102,-131,0.5945102720259846,0.200911,,,,,,,
067b077ed438bfbd,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Mitchell Robinson,player_points_rebounds_assists,over,14.5,B,draftkings,-125,-174,0.6671045685279189,0.200788,,,,,,,
42501e0e78ce5dc2,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Ausar Thompson,player_rebounds,over,6.5,B,draftkings,116,-112,0.5551052649619524,0.199027,,,,,,,
3a941810647137e5,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,LaMelo Ball,player_assists,over,7.5,A,draftkings,-126,-185,0.6684238883060285,0.198919,,,,,,,
c0a83ccceae9f95d,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Paul Reed Jr,player_rebounds,over,9.5,A,draftkings,104,-133,0.5876432777232581,0.198792,,,,,,,
1f896559c9bf6b34,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Jamal Shead,player_assists,over,4.5,A,draftkings,106,-129,0.5810141684238862,0.196889,,,,,,,
b62c0a2581ef449e,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Caris LeVert,player_assists,over,2.5,B,draftkings,-107,-143,0.6182800575807955,0.196112,,,,,,,
d9dfbbd41ce444a8,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Will Riley,player_threes,over,1.5,A,fanduel,120,-112,0.5434750337381916,0.195645,,,,,,,
e3c84dedd54ba6f9,daily-20260211T230026Z,8cdd1f682ca6ed36e908ecf3b00f01bc,Indiana Pacers @ Brooklyn Nets,07:40 PM ET,Jarace Walker,player_rebounds,over,5.5,A,fanduel,-140,-210,0.6972370190511766,0.195263,,,,,,,
316caaa64e6597a5,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,VJ Edgecombe,player_rebounds,over,4.5,B,draftkings,-124,-170,0.6616600227235839,0.195257,,,,,,,
df108beb3847bcd4,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Justin Champagnie,player_rebounds,over,7.5,B,fanduel,114,-114,0.558312857245183,0.19479,,,,,,,
e1d978fc3e029b66,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Sandro Mamukelashvili,player_points,over,12.5,B,draftkings,-103,-136,0.6058356355194429,0.194026,,,,,,,
bb5fd68073678c25,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,R.J. Barrett,player_points_rebounds_assists,over,25.5,B,draftkings,-120,-163,0.6510214574898786,0.193539,,,,,,,
76efb8d2748be57f,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Donovan Mitchell,player_assists,over,5.5,A,draftkings,-121,-173,0.6526600704739806,0.192049,,,,,,,
d4ee0724af7ee752,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Sam Merrill,player_threes,over,2.5,A,fanduel,-130,-189,0.6737259201252936,0.191977,,,,,,,
a0867de5eaad3ab7,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Dominick Barlow,player_rebounds,over,4.5,B,draftkings,-128,-175,0.6686688606776098,0.191066,,,,,,,
d022061224600b8d,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Tre Johnson,player_assists,over,2.5,B,draftkings,104,-125,0.5834754646840148,0.19029,,,,,,,
9c68486cf8e38785,daily-20260211T230026Z,c09c552bcc0d68d3e96c860980ae1563,Detroit Pistons @ Toronto Raptors,07:30 PM ET,Tobias Harris,player_rebounds,over,5.5,A,fanduel,102,-134,0.5892478655173823,0.190281,,,,,,,
c3abe46877efffd0,daily-20260211T230026Z,fa53065fb88985857fe9cfe5372477dc,New York Knicks @ Philadelphia 76ers,07:30 PM ET,Mitchell Robinson,player_points,over,4.5,A,fanduel,-122,-174,0.653959379689845,0.189992,,,,,,,
94fb8a4deff7a91c,daily-20260211T230026Z,1e29ea38e9c7789166418c9a3544bff9,Washington Wizards @ Cleveland Cavaliers,07:10 PM ET,Jarrett Allen,player_rebounds,over,10.5,A,fanduel,108,-125,0.5721029468786352,0.189974,,,,,,,
d1f729c99f0f6c7a,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Nickeil Alexander-Walker,player_assists,over,3.5,A,fanduel,-146,-218,0.705987142754817,0.18954,,,,,,,
9373ba4fd52ffa75,daily-20260211T230026Z,7c66ba90233d458cdf37f776c8a9f406,Atlanta Hawks @ Charlotte Hornets,07:10 PM ET,Grant Williams,player_rebounds,over,5.5,A,fanduel,-113,-158,0.6309413164579526,0.189296,,,,,,,
